nome;partido;uf;name_simplified
Jesus Sérgio;PDT;AC;jesus sergio
Leônidas Cristino;PDT;CE;leonidas cristino
Marlon Santos;PDT;RS;marlon santos
Mauro Benevides Filho;PDT;CE;mauro benevides filho
Mário Heringer;PDT;MG;mario heringer
Paulo Ramos;PDT;RJ;paulo ramos
Pompeo de Mattos;PDT;RS;pompeo de mattos
Robério Monteiro;PDT;CE;roberio monteiro
Silvia Cristina;PDT;RO;silvia cristina
Subtenente Gonzaga;PDT;MG;subtenente gonzaga
Tabata Amaral;PDT;SP;tabata amaral
Totonho Lopes;PDT;CE;totonho lopes
Túlio Gadêlha;PDT;PE;tulio gadelha
Wolney Queiroz;PDT;PE;wolney queiroz
Josivaldo JP;PHS;MA;josivaldo jp
Abílio Santana;PL;BA;abilio santana
Aelton Freitas;PL;MG;aelton freitas
Altineu Côrtes;PL;RJ;altineu cortes
Bosco Costa;PL;SE;bosco costa
Capitão Augusto;PL;SP;capitao augusto
Capitão Fábio Abreu;PL;PI;capitao fabio abreu
Christiane de Souza Yared;PL;PR;christiane de souza yared
Cristiano Vale;PL;PA;cristiano vale
Dr. Jaziel;PL;CE;dr jaziel
Edio Lopes;PL;RR;edio lopes
Fernando Rodolfo;PL;PE;fernando rodolfo
Flávia Arruda;PL;DF;flavia arruda
Gelson Azevedo;PL;RJ;gelson azevedo
Giacobo;PL;PR;giacobo
Giovani Cherini;PL;RS;giovani cherini
Gorete Pereira;PL;CE;gorete pereira
Jorge Goetten;PL;SC;jorge goetten
Jorielson;PL;AP;jorielson
Josimar Maranhãozinho;PL;MA;josimar maranhaozinho
José Rocha;PL;BA;jose rocha
João Carlos Bacelar;PL;BA;joao carlos bacelar
João Maia;PL;RN;joao maia
Junior Lourenço;PL;MA;junior lourenco
Júnior Mano;PL;CE;junior mano
Laerte Bessa;PL;DF;laerte bessa
Lincoln Portela;PL;MG;lincoln portela
Luiz Antônio Corrêa;PL;RJ;luiz antonio correa
Luiz Carlos Motta;PL;SP;luiz carlos motta
Luiz Nishimori;PL;PR;luiz nishimori
Magda Mofatto;PL;GO;magda mofatto
Marcelo Ramos;PL;AM;marcelo ramos
Marcio Alvino;PL;SP;marcio alvino
Marina Santos;PL;PI;marina santos
Miguel Lombardi;PL;SP;miguel lombardi
PAULO FREIRE COSTA;PL;SP;paulo freire costa
Pastor Gil;PL;MA;pastor gil
Policial Katia Sastre;PL;SP;policial katia sastre
